test_id,famous,gender,age,proof,exposure_duration,image_name,response_time,correctly_recognized,actually_is_famous
06,Y,8,19,overlyattached girlfriend,0.25,NotFamousW5.png,1.4509999752044678,N,N
06,Y,1,67,einstein,0.25,Albert Einstein.jpg,1.0920000076293945,Y,Y
06,N,1,36,blank,0.09375,NotFamousLookAlike.jpg,1.3589999675750732,U,N
06,N,1,35,blank,0.09375,Jim Carrey.jpg,1.1349999904632568,U,Y
06,N,2,35,blank,0.09375,NotFamousM1.png,0.9670000076293945,U,N
06,N,9,30,blank,0.09375,Oprah Winfrey.jpg,1.123000144958496,U,Y
06,N,9,28,blank,0.19791666666666666,NotFamousW3.png,1.4500000476837158,U,N
06,N,5,30,blank,0.19791666666666666,Miley Cyrus.jpg,1.5289998054504395,U,Y
06,Y,1,35,mike tyson,0.19791666666666666,NotFamousM5.png,1.2009999752044678,N,N
06,Y,1,50,obama,0.19791666666666666,Barack Obama.jpg,0.935999870300293,Y,Y
06,Y,9,20,the young christina aguilera,0.22395833333333334,Christina Aguilera.jpg,1.1649999618530273,Y,Y
06,Y,1,30,kim jong un,0.22395833333333334,DavidBlookAlike.jpg,1.5130000114440918,N,N
06,U,2,35,not sure,0.22395833333333334,maleNotFamouse.jpg,0,U,N
06,Y,2,50,steve jobs,0.22395833333333334,Steve Jobs.jpg,1.5759999752044678,Y,Y
06,N,5,35,blank,0.171875,NotFamousM4.png,1.4820001125335693,U,N
06,Y,1,70,donald trump,0.171875,Donald Trump.jpg,0.7019999027252197,Y,Y
06,N,9,30,blank,0.171875,NotSoFamouse.jpg,1.6070001125335693,U,N
06,U,9,30,beyonce again maybe,0.171875,Lady Gaga.jpg,0,N,Y
06,N,5,35,blank,0.14583333333333331,NotFamousM3.png,1.2169997692108154,U,N
06,Y,9,45,michelle obama with weird haircut,0.14583333333333331,Michelle Obama.jpg,1.0920000076293945,Y,Y
06,Y,3,22,justin bieber,0.14583333333333331,Justin Bieber.jpg,0.9819998741149902,Y,Y
06,Y,9,18,selena gomez,0.14583333333333331,NotFamousW1.png,1.124000072479248,N,N
06,N,9,20,blank,0.11979166666666666,Angelina Jolie.jpg,1.0320000648498535,U,Y
06,N,9,20,blank,0.11979166666666666,StylistlookAlike.jpg,1.185999870300293,U,N
06,N,9,20,blank,0.11979166666666666,Britney Spears.jpg,1.0920000076293945,U,Y
06,N,2,34,blank,0.11979166666666666,NotFamousM2.png,1.5139999389648438,U,N
07,U,3,43,not sure,0.06770833333333331,NotFamousW5.png,0,U,N
07,U,9,34,not sure,0.06770833333333331,NotSoFamouse.jpg,0,U,N
